car name,mpg,cylinders,displacement,horsepower,weight,acceleration,model year,origin
49,18.0,8,307.0,130,3504,12.0,70,1
36,15.0,8,350.0,165,3693,11.5,70,1
231,18.0,8,318.0,150,3436,11.0,70,1
14,16.0,8,304.0,150,3433,12.0,70,1
161,17.0,8,302.0,140,3449,10.5,70,1
141,15.0,8,429.0,198,4341,10.0,70,1
54,14.0,8,454.0,220,4354,9.0,70,1
223,14.0,8,440.0,215,4312,8.5,70,1
241,14.0,8,455.0,225,4425,10.0,70,1
1,15.0,8,390.0,190,3850,8.5,70,1
101,15.0,8,383.0,170,3563,10.0,70,1
215,14.0,8,340.0,160,3609,8.0,70,1
57,15.0,8,400.0,150,3761,9.5,70,1
30,14.0,8,455.0,225,3086,10.0,70,1
274,24.0,4,113.0,95,2372,15.0,70,3
220,22.0,6,198.0,95,2833,15.5,70,1
8,18.0,6,199.0,97,2774,15.5,70,1
150,21.0,6,200.0,85,2587,16.0,70,1
95,27.0,4,97.0,88,2130,14.5,70,3
282,26.0,4,97.0,46,1835,20.5,70,2
211,25.0,4,110.0,87,2672,17.5,70,2
16,24.0,4,107.0,90,2430,14.5,70,2
258,25.0,4,104.0,95,2375,17.5,70,2
22,26.0,4,121.0,113,2234,12.5,70,2
7,21.0,6,199.0,90,2648,15.0,70,1
133,10.0,8,360.0,215,4615,14.0,70,1
68,10.0,8,307.0,200,4376,15.0,70,1
112,11.0,8,318.0,210,4382,13.5,70,1
163,9.0,8,304.0,193,4732,18.5,70,1
95,27.0,4,97.0,88,2130,14.5,71,3
65,28.0,4,140.0,90,2264,15.5,71,1
271,25.0,4,113.0,95,2228,14.0,71,3
156,25.0,4,98.0,54,2046,19.0,71,1
7,19.0,6,232.0,100,2634,13.0,71,1
232,16.0,6,225.0,105,3439,15.5,71,1
49,17.0,6,250.0,100,3329,15.5,71,1
162,19.0,6,250.0,88,3302,15.5,71,1
10,18.0,6,232.0,100,3288,15.5,71,1
54,14.0,8,350.0,165,4209,12.0,71,1
242,14.0,8,400.0,175,4464,11.5,71,1
141,14.0,8,351.0,153,4154,13.5,71,1
